Regex;Lines;Visited;Cache Size(Found);Max CS;Avg CS;Status
(?:4[0-9]{12}(?:[0-9]{3})?|5[1-5][0-9]{14}|6(?:011|5[0-9][0-9])[0-9]{12}|3[47][0-9]{13}|3(?:0[0-5]|[68][0-9])[0-9]{11}|(?:2131|1800|35[0-9]{3})[0-9]{11});;;;;;TIMEOUT while converting to DCA.
(?:a(?:b(?:c(?:d(?:e(?:f(?:g(?:h(?:i(?:FooBar){3,6}){3,6}){3,6}){3,6}){3,6}){3,6}){3,6}){3,6}){3,6}){3,6};;;;;;Error while converting to DCA: Error: Creating loop in NCA.
(?:http|ftp)s?://(?:(?:[A-Z0-9](?:[A-Z0-9-]{0,61}[A-Z0-9])?\.)+(?:[A-Z]{2,6}\.?|[A-Z0-9-]{2,}\.?)|localhost|[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3})(?::[0-9]+)?(?:[/?][^ \n\t\r\f]*);;;;;;TIMEOUT while finding cycles.
(?:charset|encoding)[ \n\t\r\f]{0,10}=[ \n\t\r\f]{0,10}['\"]? {0,10}([a-z0-9A-Z_\-]{1,100});;;;;;TIMEOUT while converting to DCA.
(?<bank_code>[0-9a-zA-Z_]{8,11})\/(?<account_number>[0-9]{0,23})(?<currency>[A-Z]{3})?|(?<country>[a-zA-Z]{2})(?<ban>[0-9]{11,36});;;;;;TIMEOUT while converting to DCA.
(?i)[0-9a-z\-_]{100,};1;101;101;100;0,00505;Text generated.
(?i)[a-f0-9 -]{64,};1;65;65;64;0,00208;Text generated.
(?i)[a-f0-9]{32,64};1;33;33;32;0,000528;Text generated.
(?i)\A[A-Z0-9._%+-]{1,64}@(?:[A-Z0-9-]*\.){1,125}[A-Z]{2,63}\z;;;;;;Error while converting to DCA: Error: Creating loop in NCA.
(?i)^[a-z][a-z0-9_]{0,127}$;1;129;129;1;0,000128;Text generated.
